id,treatment,outcome,baseline_outcome,age,gender,education,income,strata,cluster_id
1,0,75.2,68.5,34,1,12,45000,1,1
2,0,82.1,79.3,28,0,16,52000,1,1
3,1,88.5,70.2,31,1,14,48000,1,1
4,1,91.3,85.1,29,0,16,55000,1,1
5,0,71.8,70.5,42,1,12,43000,1,2
6,0,78.9,75.2,38,0,14,49000,1,2
7,1,85.7,72.8,40,1,13,46000,1,2
8,1,89.2,80.4,35,0,15,51000,1,2
9,0,69.5,65.8,45,1,11,41000,2,3
10,0,76.3,73.5,39,0,13,47000,2,3
11,1,83.1,69.5,43,1,12,44000,2,3
12,1,87.8,78.9,37,0,14,50000,2,3
13,0,80.5,77.2,32,1,15,53000,2,4
14,0,85.3,82.1,30,0,17,58000,2,4
15,1,92.7,79.8,33,1,16,56000,2,4
16,1,95.4,88.5,31,0,18,61000,2,4
17,0,73.8,71.2,36,1,13,47000,1,5
18,0,79.5,76.8,34,0,15,52000,1,5
19,1,86.9,74.5,35,1,14,49000,1,5
20,1,90.6,83.2,33,0,16,54000,1,5
21,0,70.2,68.9,41,1,12,44000,2,6
22,0,77.8,74.5,39,0,14,48000,2,6
23,1,84.5,71.8,40,1,13,45000,2,6
24,1,88.9,81.2,38,0,15,50000,2,6
25,0,74.5,72.8,33,1,14,50000,1,7
26,0,81.2,78.5,31,0,16,55000,1,7
27,1,87.8,75.2,32,1,15,52000,1,7
28,1,91.5,84.8,30,0,17,57000,1,7
29,0,68.9,66.5,44,1,11,42000,2,8
30,0,75.5,72.8,40,0,13,46000,2,8
31,1,82.3,70.5,42,1,12,43000,2,8
32,1,86.7,79.5,39,0,14,48000,2,8
33,0,79.8,76.5,34,1,15,54000,1,9
34,0,84.7,81.8,32,0,17,59000,1,9
35,1,91.9,78.5,33,1,16,57000,1,9
36,1,94.8,87.2,31,0,18,62000,1,9
37,0,72.5,70.8,37,1,13,48000,2,10
38,0,78.2,75.5,35,0,15,53000,2,10
39,1,85.8,73.2,36,1,14,50000,2,10
40,1,89.5,82.8,34,0,16,55000,2,10
41,0,71.2,69.5,43,1,12,45000,1,11
42,0,77.9,74.2,41,0,14,49000,1,11
43,1,84.1,72.5,42,1,13,46000,1,11
44,1,87.8,81.8,40,0,15,51000,1,11
45,0,76.8,74.5,35,1,14,51000,2,12
46,0,82.5,79.8,33,0,16,56000,2,12
47,1,89.2,76.8,34,1,15,53000,2,12
48,1,92.8,86.5,32,0,17,58000,2,12
49,0,69.8,67.5,46,1,11,43000,1,13
50,0,76.2,73.5,42,0,13,47000,1,13
51,1,83.5,71.2,44,1,12,44000,1,13
52,1,87.2,80.5,41,0,14,49000,1,13
53,0,81.5,78.5,33,1,16,55000,2,14
54,0,86.8,83.2,31,0,18,60000,2,14
55,1,93.5,80.8,32,1,17,58000,2,14
56,1,96.2,89.5,30,0,19,63000,2,14
57,0,74.2,72.5,38,1,14,49000,1,15
58,0,80.8,77.8,36,0,16,54000,1,15
59,1,87.5,75.8,37,1,15,51000,1,15
60,1,91.2,84.5,35,0,17,56000,1,15
61,0,70.8,69.2,44,1,12,46000,2,16
62,0,77.5,74.8,42,0,14,50000,2,16
63,1,84.8,72.8,43,1,13,47000,2,16
64,1,88.5,82.5,41,0,15,52000,2,16
65,0,75.5,73.8,36,1,15,52000,1,17
66,0,81.8,79.2,34,0,17,57000,1,17
67,1,88.5,76.5,35,1,16,54000,1,17
68,1,92.2,85.8,33,0,18,59000,1,17
69,0,69.2,67.8,47,1,11,44000,2,18
70,0,75.8,73.2,43,0,13,48000,2,18
71,1,82.8,71.8,45,1,12,45000,2,18
72,1,86.5,80.8,42,0,14,50000,2,18
73,0,80.2,77.8,35,1,16,56000,1,19
74,0,85.5,82.5,33,0,18,61000,1,19
75,1,92.8,79.5,34,1,17,59000,1,19
76,1,95.5,88.2,32,0,19,64000,1,19
77,0,73.5,71.8,39,1,14,50000,2,20
78,0,79.8,76.5,37,0,16,55000,2,20
79,1,86.8,74.8,38,1,15,52000,2,20
80,1,90.5,83.8,36,0,17,57000,2,20
81,0,71.8,70.2,45,1,12,47000,1,21
82,0,78.5,75.5,43,0,14,51000,1,21
83,1,85.2,73.5,44,1,13,48000,1,21
84,1,88.8,82.2,42,0,15,53000,1,21
85,0,76.2,74.8,37,1,15,53000,2,22
86,0,82.8,80.5,35,0,17,58000,2,22
87,1,89.8,77.8,36,1,16,55000,2,22
88,1,93.5,86.8,34,0,18,60000,2,22
89,0,70.5,68.8,48,1,11,45000,1,23
90,0,77.2,74.5,44,0,13,49000,1,23
91,1,84.2,72.5,46,1,12,46000,1,23
92,1,87.8,81.5,43,0,14,51000,1,23
93,0,81.8,79.5,36,1,17,57000,2,24
94,0,87.2,84.5,34,0,19,62000,2,24
95,1,94.2,81.5,35,1,18,60000,2,24
96,1,97.5,90.5,33,0,20,65000,2,24
97,0,74.8,73.5,40,1,15,51000,1,25
98,0,81.5,78.8,38,0,17,56000,1,25
99,1,88.2,76.5,39,1,16,53000,1,25
100,1,91.8,85.5,37,0,18,58000,1,25
